,날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),PM2.5_MA7,PM2.5_MA30,PM2.5lag,Autumn,Spring,Summer,Winter
1513,2024-02-22,0.05319148936170213,0.11363636363636365,0.4904761904761905,0.07819905213270145,0.1777777777777778,0.21999999999999997,0.21661721068249262,0.6176470588235295,0.727950310559006,0.7500000000000036,0.22463768115942026,0.5922865013774103,0.11363636363636365,0,0,0,1
1514,2024-02-23,0.09574468085106383,0.1590909090909091,0.49682539682539684,0.08293838862559244,0.1777777777777778,0.2,0.2106824925816024,0.5147058823529412,0.5826086956521739,0.8461538461538503,0.2210144927536232,0.5895316804407713,0.11363636363636365,0,0,0,1
1515,2024-02-24,0.14893617021276595,0.2272727272727273,0.46825396825396826,0.1232227488151659,0.20000000000000007,0.27999999999999997,0.22848664688427303,0.42647058823529416,0.5527950310559006,0.8293269230769234,0.21376811594202896,0.5826446280991734,0.1590909090909091,0,0,0,1
1516,2024-02-25,0.06382978723404256,0.1590909090909091,0.44920634920634916,0.07345971563981044,0.2222222222222222,0.2,0.28189910979228494,0.3088235294117647,0.6509316770186335,0.6778846153846168,0.17391304347826084,0.5688705234159779,0.2272727272727273,0,0,0,1
1517,2024-02-26,0.08510638297872342,0.1590909090909091,0.4555555555555556,0.1398104265402844,0.24444444444444446,0.21999999999999997,0.27002967359050445,0.3382352941176471,0.5229813664596272,0.80048076923077,0.14130434782608695,0.5413223140495866,0.1590909090909091,0,0,0,1
1518,2024-02-27,0.23404255319148937,0.29545454545454547,0.5190476190476191,0.14218009478672988,0.2222222222222222,0.21999999999999997,0.2255192878338279,0.47058823529411764,0.439751552795031,0.8966346153846168,0.15217391304347824,0.5275482093663911,0.1590909090909091,0,0,0,1
1519,2024-02-28,0.19148936170212766,0.2272727272727273,0.5634920634920636,0.16113744075829387,0.24444444444444446,0.2,0.3086053412462908,0.36764705882352944,0.4546583850931677,0.8485576923076934,0.17028985507246375,0.5055096418732781,0.29545454545454547,0,0,0,1
1520,2024-02-29,0.12765957446808512,0.20454545454545456,0.426984126984127,0.24407582938388628,0.3111111111111111,0.27999999999999997,0.26112759643916916,0.41176470588235303,0.7217391304347824,0.6634615384615401,0.18478260869565216,0.4807162534435261,0.2272727272727273,0,0,0,1
1521,2024-03-01,0.2553191489361702,0.36363636363636365,0.46190476190476193,0.16587677725118488,0.28888888888888886,0.2,0.16320474777448074,0.42647058823529416,0.24223602484472048,0.6298076923076934,0.21739130434782608,0.46556473829201095,0.20454545454545456,0,1,0,0
1522,2024-03-02,0.2446808510638298,0.2727272727272727,0.49682539682539684,0.1516587677725119,0.24444444444444446,0.21999999999999997,0.11275964391691395,0.5588235294117647,0.22732919254658382,0.6850961538461569,0.22463768115942026,0.44077134986225885,0.36363636363636365,0,1,0,0
1523,2024-03-03,0.5106382978723404,0.2727272727272727,0.5793650793650794,0.28436018957345977,0.5555555555555556,0.37999999999999995,0.28783382789317513,0.6029411764705883,0.43602484472049685,0.6322115384615401,0.322463768115942,0.4765840220385674,0.2727272727272727,0,1,0,0
1524,2024-03-04,0.3351063829787234,0.2727272727272727,0.6285714285714287,0.3744075829383887,0.5777777777777777,0.27999999999999997,0.3768545994065282,0.3382352941176471,0.3913043478260869,0.67548076923077,0.4528985507246377,0.524793388429752,0.2727272727272727,0,1,0,0
1525,2024-03-05,0.1595744680851064,0.2727272727272727,0.6476190476190476,0.1232227488151659,0.3111111111111111,0.21999999999999997,0.3175074183976262,0.5147058823529412,0.8322981366459626,0.4735576923076934,0.4492753623188405,0.5303030303030303,0.2727272727272727,0,1,0,0
1526,2024-03-06,0.11702127659574468,0.2272727272727273,0.5650793650793651,0.09952606635071093,0.28888888888888886,0.2,0.3175074183976262,0.5294117647058824,0.5913043478260868,0.53125,0.4492753623188405,0.5358126721763085,0.2727272727272727,0,1,0,0
1527,2024-03-07,0.19148936170212766,0.29545454545454547,0.49523809523809526,0.2109004739336493,0.33333333333333337,0.24,0.3026706231454006,0.36764705882352944,0.5105590062111801,0.5600961538461533,0.46376811594202894,0.5385674931129476,0.2272727272727273,0,1,0,0
1528,2024-03-08,0.3191489361702128,0.4545454545454546,0.5365079365079366,0.24881516587677732,0.37777777777777777,0.21999999999999997,0.25816023738872407,0.3970588235294118,0.16770186335403728,0.5600961538461533,0.4782608695652174,0.5468319559228649,0.29545454545454547,0,1,0,0
1529,2024-03-09,0.30851063829787234,0.4318181818181818,0.4904761904761905,0.31753554502369674,0.4222222222222223,0.25999999999999995,0.2106824925816024,0.32352941176470584,0.28447204968944095,0.7283653846153832,0.5036231884057971,0.5468319559228649,0.4545454545454546,0,1,0,0
1530,2024-03-10,0.2553191489361702,0.4090909090909091,0.5238095238095238,0.32227488151658773,0.4222222222222223,0.24,0.31157270029673595,0.3970588235294118,0.2720496894409937,0.7007211538461533,0.44565217391304346,0.5303030303030303,0.4318181818181818,0,1,0,0
1531,2024-03-11,0.26595744680851063,0.38636363636363635,0.42539682539682544,0.5426540284360191,0.4666666666666668,0.3,0.35311572700296745,0.26470588235294124,0.5267080745341615,0.6730769230769234,0.35144927536231885,0.5234159779614324,0.4090909090909091,0,1,0,0
1532,2024-03-12,0.2021276595744681,0.4090909090909091,0.3920634920634921,0.3412322274881517,0.4444444444444444,0.18,0.3204747774480713,0.25,0.6770186335403726,0.5144230769230766,0.3731884057971014,0.4820936639118456,0.38636363636363635,0,1,0,0
1533,2024-03-13,0.35106382978723405,0.5681818181818182,0.4476190476190477,0.4691943127962086,0.6000000000000001,0.24,0.33827893175074186,0.41176470588235303,0.4844720496894409,0.6538461538461569,0.427536231884058,0.4696969696969696,0.4090909090909091,0,1,0,0
1534,2024-03-14,0.44680851063829785,0.6363636363636364,0.6571428571428571,0.4928909952606636,0.5333333333333334,0.32,0.4005934718100891,0.3382352941176471,0.21739130434782608,0.67548076923077,0.4818840579710145,0.4752066115702478,0.5681818181818182,0,1,0,0
