,날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),PM10_MA7,PM10_MA30,PM10lag,Autumn,Spring,Summer,Winter
798,2022-03-09,0.648936170212766,0.8409090909090909,0.6666666666666667,0.43127962085308064,0.7777777777777777,0.39999999999999997,0.3946587537091989,0.2352941176470588,0.48322981366459616,0.6850961538461569,0.36842105263157887,0.39052369077306737,0.5425531914893617,0,1,0,0
799,2022-03-10,0.5851063829787234,0.8181818181818182,0.5555555555555556,0.6445497630331755,0.7777777777777777,0.6000000000000001,0.41839762611275977,0.3970588235294118,0.6223602484472048,0.6802884615384635,0.38969764837625975,0.40598503740648373,0.648936170212766,0,1,0,0
800,2022-03-11,0.4574468085106383,0.5909090909090909,0.46031746031746035,0.7156398104265405,0.5555555555555556,0.6000000000000001,0.49851632047477756,0.4558823529411765,0.7217391304347824,0.61298076923077,0.34938409854423286,0.4169576059850374,0.5851063829787234,0,1,0,0
801,2022-03-12,0.40425531914893614,0.5454545454545454,0.34920634920634924,0.5971563981042655,0.5555555555555556,0.6000000000000001,0.5578635014836796,0.41176470588235303,0.7925465838509315,0.5865384615384635,0.30235162374020147,0.42194513715710724,0.4574468085106383,0,1,0,0
802,2022-03-13,0.2872340425531915,0.34090909090909094,0.5079365079365079,0.2417061611374408,0.33333333333333337,0.6000000000000001,0.5281899109792285,0.42647058823529416,0.8341614906832299,0.48076923076922995,0.3068309070548712,0.41496259351620945,0.40425531914893614,0,1,0,0
803,2022-03-14,0.18085106382978725,0.29545454545454547,0.44444444444444453,0.40758293838862564,0.5555555555555556,0.6000000000000001,0.41839762611275977,0.4411764705882354,0.8757763975155278,0.47596153846153655,0.27995520716685324,0.398503740648379,0.2872340425531915,0,1,0,0
804,2022-03-15,0.2872340425531915,0.36363636363636365,0.5555555555555556,0.36018957345971575,0.5555555555555556,0.6000000000000001,0.43323442136498524,0.2352941176470588,0.5565217391304347,0.49759615384615685,0.2530795072788353,0.39750623441396515,0.18085106382978725,0,1,0,0
805,2022-03-16,0.3191489361702128,0.4772727272727273,0.34920634920634924,0.8341232227488152,0.5555555555555556,0.6000000000000001,0.4718100890207716,0.2941176470588236,0.515527950310559,0.5456730769230802,0.21836506159014551,0.40199501246882785,0.2872340425531915,0,1,0,0
806,2022-03-17,0.30851063829787234,0.4090909090909091,0.5714285714285715,0.2417061611374408,0.5555555555555556,0.6000000000000001,0.3916913946587538,0.5588235294117647,0.7490683229813664,0.6322115384615401,0.1892497200447928,0.40199501246882785,0.3191489361702128,0,1,0,0
807,2022-03-18,0.05319148936170213,0.2840909090909091,0.5714285714285715,0.2417061611374408,0.33333333333333337,0.39999999999999997,0.2997032640949555,0.6470588235294118,0.7813664596273292,0.40144230769231015,0.1466965285554311,0.3940149625935162,0.30851063829787234,0,1,0,0
808,2022-03-19,0.10638297872340427,0.1590909090909091,0.44444444444444453,0.2417061611374408,0.5555555555555556,0.2,0.3026706231454006,0.2352941176470588,0.7527950310559005,0.39182692307692335,0.11534154535274355,0.39052369077306737,0.05319148936170213,0,1,0,0
809,2022-03-20,0.08510638297872342,0.18181818181818182,0.46031746031746035,0.2180094786729858,0.5555555555555556,0.2,0.3056379821958457,0.25,0.6186335403726707,0.6153846153846168,0.09406494960806269,0.3850374064837905,0.10638297872340427,0,1,0,0
810,2022-03-21,0.1702127659574468,0.29545454545454547,0.5079365079365079,0.26540284360189575,0.5555555555555556,0.2,0.34718100890207726,0.32352941176470584,0.43602484472049685,0.7163461538461533,0.09294512877939529,0.38154613466334164,0.08510638297872342,0,1,0,0
811,2022-03-22,0.2872340425531915,0.4318181818181818,0.5555555555555556,0.2417061611374408,0.5555555555555556,0.2,0.35608308605341255,0.3529411764705883,0.4695652173913043,0.6658653846153868,0.09294512877939529,0.3840399002493765,0.1702127659574468,0,1,0,0
812,2022-03-23,0.3617021276595745,0.5227272727272727,0.46031746031746035,0.5260663507109006,0.5555555555555556,0.2,0.35311572700296745,0.2352941176470588,0.4720496894409937,0.5937500000000036,0.09742441209406491,0.38753117206982535,0.2872340425531915,0,1,0,0
813,2022-03-24,0.6063829787234043,0.42424242424242425,0.6190476190476191,0.4786729857819906,0.7777777777777777,0.39999999999999997,0.3857566765578635,0.42647058823529416,0.4459627329192546,0.6610576923076934,0.12877939529675247,0.40498753117206987,0.3617021276595745,0,1,0,0
814,2022-03-25,0.40425531914893614,0.3257575757575758,0.4920634920634921,0.5971563981042655,0.6666666666666667,0.39999999999999997,0.4777448071216618,0.2352941176470588,0.6832298136645962,0.6177884615384635,0.17693169092945127,0.41895261845386533,0.6063829787234043,0,1,0,0
815,2022-03-26,0.2021276595744681,0.2272727272727273,0.5396825396825398,0.19431279620853084,0.5555555555555556,0.39999999999999997,0.4925816023738874,0.6764705882352942,0.8670807453416148,0.5625000000000036,0.18701007838745792,0.41645885286783046,0.40425531914893614,0,1,0,0
816,2022-03-27,0.3404255319148936,0.29545454545454547,0.5555555555555556,0.26540284360189575,0.5555555555555556,0.39999999999999997,0.4925816023738874,0.42647058823529416,0.3739130434782608,0.5072115384615401,0.2138857782754759,0.4129675810473815,0.2021276595744681,0,1,0,0
817,2022-03-28,0.2127659574468085,0.20454545454545456,0.6031746031746031,0.1469194312796209,0.33333333333333337,0.2,0.3679525222551929,0.3970588235294118,0.3155279503105589,0.7860576923076934,0.21836506159014551,0.3855361596009974,0.3404255319148936,0,1,0,0
818,2022-03-29,0.1702127659574468,0.20454545454545456,0.5396825396825398,0.36018957345971575,0.33333333333333337,0.2,0.42433234421364996,0.27941176470588236,0.4720496894409937,0.7740384615384635,0.206047032474804,0.3765586034912718,0.2127659574468085,0,1,0,0
819,2022-03-30,0.35106382978723405,0.4090909090909091,0.3015873015873016,0.5971563981042655,0.33333333333333337,0.2,0.49851632047477756,0.26470588235294124,0.5763975155279503,0.6706730769230766,0.2049272116461366,0.37855361596009973,0.1702127659574468,0,1,0,0
820,2022-03-31,0.26595744680851063,0.36363636363636365,0.5555555555555556,0.2417061611374408,0.33333333333333337,0.2,0.42433234421364996,0.38235294117647056,0.6807453416149067,0.7211538461538467,0.16909294512877937,0.3755610972568578,0.35106382978723405,0,1,0,0
821,2022-04-01,0.11702127659574468,0.1590909090909091,0.6031746031746031,0.1469194312796209,0.33333333333333337,0.2,0.35608308605341255,0.4411764705882354,0.4322981366459626,0.8581730769230802,0.12765957446808507,0.3665835411471321,0.26595744680851063,0,1,0,0
822,2022-04-02,0.1702127659574468,0.2272727272727273,0.5555555555555556,0.33649289099526075,0.33333333333333337,0.2,0.3916913946587538,0.2941176470588236,0.4894409937888198,0.8221153846153868,0.12430011198208285,0.3566084788029925,0.11702127659574468,0,1,0,0
823,2022-04-03,0.2021276595744681,0.34090909090909094,0.6666666666666667,0.26540284360189575,0.33333333333333337,0.2,0.43026706231454015,0.17647058823529413,0.5354037267080745,0.8293269230769234,0.10974244120940646,0.32668329177057354,0.1702127659574468,0,1,0,0
824,2022-04-04,0.2021276595744681,0.29545454545454547,0.5555555555555556,0.4549763033175357,0.33333333333333337,0.2,0.4480712166172107,0.1911764705882353,0.5229813664596272,0.8221153846153868,0.10862262038073905,0.29625935162094763,0.2021276595744681,0,1,0,0
825,2022-04-05,0.35106382978723405,0.4545454545454546,0.44444444444444453,0.6919431279620855,0.5555555555555556,0.2,0.483679525222552,0.5,0.3527950310559006,0.6850961538461569,0.12765957446808507,0.3012468827930175,0.2021276595744681,0,1,0,0
826,2022-04-06,0.3723404255319149,0.5,0.6666666666666667,0.5260663507109006,0.5555555555555556,0.2,0.5222551928783383,0.2941176470588236,0.26459627329192537,0.6514423076923102,0.1298992161254199,0.29825436408977557,0.35106382978723405,0,1,0,0
827,2022-04-07,0.5212765957446809,0.5909090909090909,0.5079365079365079,0.7630331753554505,0.5555555555555556,0.39999999999999997,0.5222551928783383,0.22058823529411767,0.4285714285714285,0.5673076923076934,0.15677491601343782,0.2972568578553616,0.3723404255319149,0,1,0,0
828,2022-04-08,0.3723404255319149,0.3181818181818182,0.6031746031746031,0.31279620853080575,0.33333333333333337,0.2,0.5163204747774481,0.3529411764705883,0.4583850931677018,0.6490384615384635,0.18365061590145576,0.28428927680798,0.5212765957446809,0,1,0,0
829,2022-04-09,0.43617021276595747,0.36363636363636365,0.5873015873015873,0.40758293838862564,0.33333333333333337,0.2,0.5786350148367954,0.7205882352941176,0.4906832298136645,0.58173076923077,0.21164613661814108,0.2773067331670823,0.3723404255319149,0,1,0,0
830,2022-04-10,0.2553191489361702,0.34090909090909094,0.6031746031746031,0.26540284360189575,0.33333333333333337,0.2,0.6112759643916915,0.661764705882353,0.6248447204968943,0.6009615384615401,0.2172452407614781,0.26783042394014966,0.43617021276595747,0,1,0,0
831,2022-04-11,0.4574468085106383,0.5454545454545454,0.25396825396825395,0.5734597156398105,0.33333333333333337,0.39999999999999997,0.599406528189911,0.3382352941176471,0.7838509316770185,0.5360576923076934,0.24412094064949608,0.27032418952618453,0.2553191489361702,0,1,0,0
832,2022-04-12,0.22340425531914893,0.29545454545454547,0.22222222222222227,0.43127962085308064,0.33333333333333337,0.2,0.6142433234421365,0.5294117647058824,0.8621118012422361,0.45673076923077005,0.2306830907054871,0.2673316708229426,0.4574468085106383,0,1,0,0
833,2022-04-13,0.2021276595744681,0.29545454545454547,0.4920634920634921,0.19431279620853084,0.33333333333333337,0.2,0.4629080118694363,0.4852941176470589,0.7714285714285712,0.5480769230769234,0.21276595744680848,0.2683291770573566,0.22340425531914893,0,1,0,0
834,2022-04-14,0.10638297872340427,0.1590909090909091,0.5079365079365079,0.09952606635071093,0.33333333333333337,0.2,0.4065281899109793,0.5441176470588236,0.7503105590062111,0.5865384615384635,0.16909294512877937,0.2598503740648379,0.2021276595744681,0,1,0,0
835,2022-04-15,0.18085106382978725,0.18181818181818182,0.5873015873015873,0.1232227488151659,0.33333333333333337,0.2,0.4451038575667656,0.4411764705882354,0.515527950310559,0.5721153846153832,0.14893617021276592,0.25336658354114716,0.10638297872340427,0,1,0,0
836,2022-04-16,0.12765957446808512,0.1590909090909091,0.6666666666666667,0.1469194312796209,0.33333333333333337,0.2,0.44213649851632053,0.32352941176470584,0.4608695652173913,0.5961538461538467,0.11646136618141095,0.2448877805486284,0.18085106382978725,0,1,0,0
837,2022-04-17,0.2446808510638298,0.2727272727272727,0.7301587301587301,0.26540284360189575,0.33333333333333337,0.2,0.5252225519287834,0.36764705882352944,0.3031055900621117,0.5985576923076934,0.11534154535274355,0.2538653366583541,0.12765957446808512,0,1,0,0
838,2022-04-18,0.3829787234042553,0.38636363636363635,0.5555555555555556,0.6919431279620855,0.5555555555555556,0.2,0.5816023738872405,0.2058823529411765,0.19875776397515524,0.5793269230769234,0.10750279955207165,0.2668329177057357,0.2446808510638298,0,1,0,0
839,2022-04-19,0.39361702127659576,0.4545454545454546,0.46031746031746035,0.7630331753554505,0.33333333333333337,0.39999999999999997,0.6023738872403561,0.1911764705882353,0.16149068322981366,0.5769230769230766,0.12541993281075026,0.2812967581047382,0.3829787234042553,0,1,0,0
840,2022-04-20,0.39361702127659576,0.36363636363636365,0.6507936507936508,0.5734597156398105,0.11111111111111105,0.39999999999999997,0.6439169139465876,0.42647058823529416,0.12422360248447203,0.5625,0.1455767077267637,0.2917705735660848,0.39361702127659576,0,1,0,0
841,2022-04-21,0.32978723404255317,0.4318181818181818,0.4920634920634921,0.6919431279620855,0.11111111111111105,0.39999999999999997,0.513353115727003,0.2941176470588236,0.675776397515528,0.5072115384615401,0.16909294512877937,0.29376558603491265,0.39361702127659576,0,1,0,0
842,2022-04-22,0.32978723404255317,0.4090909090909091,0.6031746031746031,0.43127962085308064,0.11111111111111105,0.2,0.5578635014836796,0.75,0.6844720496894409,0.4735576923076934,0.1847704367301231,0.29226932668329175,0.32978723404255317,0,1,0,0
843,2022-04-23,0.4148936170212766,0.4772727272727273,0.6666666666666667,0.36018957345971575,0.33333333333333337,0.39999999999999997,0.5964391691394659,0.3088235294117647,0.5664596273291924,0.49038461538461675,0.2150055991041433,0.283291770573566,0.32978723404255317,0,1,0,0
